,total_load_kw,active_sessions,hour,day_of_week,month,lag_24h,lag_1h,rolling_mean_24h
2019-11-02 13:30:00,11.63614052924273,3.0,13,5,11,3.691826340608582,2.8962057877813505,44.41543793059623
2019-11-02 13:45:00,11.63614052924273,3.0,13,5,11,22.798470178992535,5.897954274667699,44.29916366341133
2019-11-02 14:00:00,17.888665497592708,4.0,14,5,11,54.54847831820903,5.897954274667699,43.91729061319658
2019-11-02 14:15:00,17.888665497592708,4.0,14,5,11,76.60429945090088,5.897954274667699,43.30566942618295
2019-11-02 14:30:00,17.888665497592708,4.0,14,5,11,97.28533794079405,11.63614052924273,42.4786207548996
2019-11-02 14:45:00,14.992459709811357,3.0,14,5,11,110.83990096713532,11.63614052924273,41.48020990846914
2019-11-02 15:00:00,14.992459709811357,3.0,15,5,11,115.0263735842801,17.888665497592708,40.43818997227677
2019-11-02 15:15:00,14.992459709811357,3.0,15,5,11,117.37068232878424,17.888665497592708,39.371750153329124
2019-11-02 15:30:00,14.992459709811357,3.0,15,5,11,117.37068232878424,17.888665497592708,38.305310334381495
2019-11-02 15:45:00,14.992459709811357,3.0,15,5,11,121.43165385307235,14.992459709811357,37.19656872872253
2019-11-02 16:00:00,14.992459709811357,3.0,16,5,11,118.63698205960902,14.992459709811357,36.1169382875788
2019-11-02 16:15:00,14.992459709811357,3.0,16,5,11,118.63698205960902,14.992459709811357,35.03730784643508
2019-11-02 16:30:00,14.992459709811357,3.0,16,5,11,118.63698205960902,14.992459709811357,33.95767740529135
2019-11-02 16:45:00,11.99071122292501,2.0,16,5,11,108.36408855741375,14.992459709811357,32.95378805805709
2019-11-02 17:00:00,11.99071122292501,2.0,17,5,11,98.82859564769184,14.992459709811357,32.04922676196577
2019-11-02 17:15:00,11.99071122292501,2.0,17,5,11,94.00494686720405,14.992459709811357,31.194911807337864
2019-11-02 17:30:00,18.253324106729945,3.0,17,5,11,94.00494686720405,14.992459709811357,30.40583240358293
2019-11-02 17:45:00,18.253324106729945,3.0,17,5,11,89.15519414199927,11.99071122292501,29.667271257382207
2019-11-02 18:00:00,18.253324106729945,3.0,18,5,11,86.58005010907745,11.99071122292501,28.955534528191084
2019-11-02 18:15:00,15.0346440160241,3.0,18,5,11,84.85842698511969,11.99071122292501,28.22820345559634
2019-11-02 18:30:00,17.999400531525815,4.0,18,5,11,76.48953345293297,18.253324106729945,27.618931237665013
2019-11-02 18:45:00,17.999400531525815,4.0,18,5,11,85.29133255077517,18.253324106729945,26.917973612464497
2019-11-02 19:00:00,17.999400531525815,4.0,19,5,11,81.06514003084874,18.253324106729945,26.261038826013216
2019-11-02 19:15:00,12.261214276950781,3.0,19,5,11,78.08558459873149,15.0346440160241,25.575368301828004
2019-11-02 19:30:00,12.261214276950781,3.0,19,5,11,82.74394933121076,17.999400531525815,24.841173145012792
2019-11-02 19:45:00,12.261214276950781,3.0,19,5,11,83.97096541792854,17.999400531525815,24.094196570627606
2019-11-02 20:00:00,12.261214276950781,3.0,20,5,11,89.69058716733753,17.999400531525815,23.287640603019412
2019-11-02 20:15:00,12.261214276950781,3.0,20,5,11,95.67218557974958,12.261214276950781,22.418776318615258
2019-11-02 20:30:00,12.261214276950781,3.0,20,5,11,95.67218557974958,12.261214276950781,21.549912034211104
2019-11-02 20:45:00,12.261214276950781,3.0,20,5,11,98.44074311621635,12.261214276950781,20.65220860880209
2019-11-02 21:00:00,12.261214276950781,3.0,21,5,11,92.49213763509071,12.261214276950781,19.816469823821464
2019-11-02 21:15:00,12.261214276950781,3.0,21,5,11,93.13946765437342,12.261214276950781,18.973988017806647
2019-11-02 21:30:00,12.261214276950781,3.0,21,5,11,79.09502072224245,12.261214276950781,18.277802534001523
2019-11-02 21:45:00,13.59256977567201,4.0,21,5,11,78.75427053031443,12.261214276950781,17.599034817807333
2019-11-02 22:00:00,13.59256977567201,4.0,22,5,11,66.7882156037932,12.261214276950781,17.044913507097736
2019-11-02 22:15:00,13.59256977567201,4.0,22,5,11,75.84518821146621,12.261214276950781,16.39644873172488
2019-11-02 22:30:00,4.365200376365358,2.0,22,5,11,79.16124299690695,12.261214276950781,15.617323287760906
2019-11-02 22:45:00,0.0,0.0,22,5,11,55.70391563218145,13.59256977567201,15.03707416659235
2019-11-02 23:00:00,0.0,0.0,23,5,11,70.22727009618467,13.59256977567201,14.305540103090427
2019-11-02 23:15:00,0.0,0.0,23,5,11,66.54878930491714,13.59256977567201,13.612323547830874
2019-11-02 23:30:00,0.0,0.0,23,5,11,65.4910310477643,4.365200376365358,12.930125307749995
2019-11-02 23:45:00,3.1753395391423775,1.0,23,5,11,59.50943263535224,0.0,12.343311837997808
2019-11-03 00:00:00,3.1753395391423775,1.0,0,6,11,53.48882253537788,0.0,11.81921305678702
2019-11-03 00:15:00,3.1753395391423775,1.0,0,6,11,53.48882253537788,0.0,11.295114275576237
2019-11-03 00:30:00,3.1753395391423775,1.0,0,6,11,47.50378746133268,0.0,10.833359609720086
2019-11-03 00:45:00,3.1753395391423775,1.0,0,6,11,41.40055520125139,3.1753395391423775,10.43518027990645
2019-11-03 01:00:00,3.1753395391423775,1.0,1,6,11,42.56049989568128,3.1753395391423775,10.02491819285917
2019-11-03 01:15:00,3.1753395391423775,1.0,1,6,11,36.83126713426982,3.1753395391423775,9.67433561374326
2019-11-03 01:30:00,3.1753395391423775,1.0,1,6,11,34.240815265844034,3.1753395391423775,9.350736908256785
2019-11-03 01:45:00,3.1753395391423775,1.0,1,6,11,27.871472002472334,3.1753395391423775,9.09348552843043
